co_fip,co_name,state,population,under18,over65,black_pct,asian_pct,native_pct,hispanic_pct,white_pct,rural_pct,pop_density_2020,college_pct_2020,rural_urban_continuum_code_2013,urban_influence_code_2013,metro_2013,hh_income_med_2020,hh_income_med_pct_of_state_2020,five_ohios,six_ohios,Religious2010,Evangelical2010,Mainline2010,Catholic2010,evan_prri,DMA,DMAnumber,black_18,latino_18,age_18,density_18,rural,rural2
39001,Adams,OH,27542,24.2,18.5,0.585,0.606,0.022,1.144,95.839,89.026,18,16,6,4,0,"42,342",70,3,4,243.96,156.36,58.81,17.51,46,"Cincinnati, OH",39,0,1,42,47,0,1
39003,Allen,OH,101670,23.2,18.2,12.334,0.331,0.048,3.703,79.8,25.891,99,19,3,2,1,"52,558",87,1,5,521.79,162.71,140.45,168.77,31,"Lima, OH",108,12,3,39,253,1,0
39005,Ashland,OH,52316,22.3,19.5,0.86,0.31,0.078,1.636,95.12,61.938,49,22,4,3,0,"55,699",92,2,0,436.99,258.25,137.71,28.4,31,"Cleveland-Akron (Canton), OH",41,1,1,40,125,0,1
39007,Ashtabula,OH,97337,22,20,3.469,0.361,0.051,4.832,88.643,46.369,54,15,4,3,0,"51,252",85,0,0,361.42,92.79,113.06,139.26,29,"Cleveland-Akron (Canton), OH",41,4,4,42,71,0,1
39009,Athens,OH,62056,14.5,14.3,2.731,0.384,0.064,1.977,89.806,43.171,51,34,4,3,0,"42,215",70,3,3,202.34,78.65,79.9,30.05,25,"Columbus, OH",46,3,2,29,130,0,1
39011,Auglaize,OH,46141,24.1,19,0.648,0.269,0.117,1.929,95.295,39.137,44,20,4,5,0,"69,468",115,1,5,585.08,102.72,210.15,253.45,29,"Lima, OH",108,1,2,41,114,0,1
39013,Belmont,OH,65849,19.1,21.7,4.144,0.197,0.026,1.204,92.249,54.665,50,16,3,2,1,"50,626",84,3,3,380.17,109.83,142.22,116.18,35,"Wheeling, WV-Steubenville, OH",200,4,1,44,124,1,0
39015,Brown,OH,43662,22.9,18.8,0.905,0.328,0.023,1.28,95.976,76.56,34,15,1,1,1,"58,067",96,4,4,330.13,206.08,46.09,64,39,"Cincinnati, OH",39,1,1,42,88,1,0
39017,Butler,OH,390234,23.4,15.5,9.299,0.315,0.166,5.372,78.297,9.343,313,32,1,1,1,"69,049",114,4,4,377.42,171.37,60,120.66,27,"Cincinnati, OH",39,8,5,37,813,1,0
39019,Carroll,OH,26691,20.9,22.2,0.674,0.371,0.011,1.484,95.781,70.953,27,14,2,2,1,"52,065",86,3,0,294.94,75.22,156.37,63.32,36,"Cleveland-Akron (Canton), OH",41,1,1,45,68,1,0
39021,Champaign,OH,38699,22,18.7,2.09,0.491,0.041,1.806,92.946,70.823,35,17,6,3,0,"64,142",106,4,5,284.51,103.72,132.13,37.11,43,"Dayton, OH",51,2,2,42,90,0,1
39023,Clark,OH,135633,22.5,19.8,8.799,0.382,0.079,3.821,83.298,23.605,132,19,3,2,1,"54,507",90,4,5,314.38,133.61,92.99,66,34,"Dayton, OH",51,9,3,41,333,1,0
39025,Clermont,OH,209642,22.5,17.7,1.837,0.228,0.055,2.24,92.681,22.717,174,29,1,1,1,"72,740",121,4,4,362.88,148.68,50.87,159.4,31,"Cincinnati, OH",39,1,2,40,446,1,0
39027,Clinton,OH,42004,22.7,18,2.131,0.409,0.06,2,92.71,54.638,40,20,6,3,0,"53,891",89,4,4,351.74,181.83,100.93,51.83,36,"Cincinnati, OH",39,2,2,40,102,0,1
39029,Columbiana,OH,101310,20.4,21.4,2.375,0.267,0.045,2.097,93.346,43.865,75,16,4,3,0,"49,342",82,3,0,398.02,145.19,148.7,89.56,32,"Youngstown, OH",206,2,2,44,192,0,1
39031,Coshocton,OH,36618,24.1,19.9,1.139,0.344,0.057,1.297,95.286,61.47,25,17,6,3,0,"47,794",79,3,2,410.86,162.49,206.47,36.58,39,"Columbus, OH",46,1,1,41,64,0,1
39033,Crawford,OH,41754,21.9,21.3,1.188,0.297,0.132,1.902,94.772,35.264,40,16,4,3,0,"45,952",76,2,2,506.92,148.78,212.47,132.74,37,"Columbus, OH",46,1,2,43,104,0,1
39035,Cuyahoga,OH,1249387,20.6,19,29.596,0.263,0.047,6.639,58.002,0.582,1059,34,1,1,1,"55,128",91,0,0,527.13,83.18,74.19,286.27,8,"Cleveland-Akron (Canton), OH",41,30,6,40,996,2,0
39037,Darke,OH,51597,24,20,0.69,0.238,0.07,1.835,95.467,66.302,33,17,6,5,0,"57,932",96,4,5,417.68,176.66,101.13,134.01,38,"Dayton, OH",51,1,2,42,86,0,1
39039,Defiance,OH,38144,22.8,19.5,1.793,0.456,0.058,10.809,85.455,43.851,36,19,4,5,0,"61,816",102,1,1,627.23,258.83,163.79,204.52,29,"Toledo, OH",185,2,10,40,92,0,1
39041,Delaware,OH,220740,25.3,14.6,4.186,0.227,0.067,2.978,82.175,19.31,172,57,1,1,1,"114,423",190,2,2,333.47,70.23,84.01,126.86,19,"Columbus, OH",46,3,3,39,449,1,0
39043,Erie,OH,74852,20.1,22.9,8.69,0.338,0.065,4.788,82.436,26.478,115,25,4,3,0,"66,252",110,1,0,556.86,127.61,142.08,256.02,15,"Cleveland-Akron (Canton), OH",41,9,4,45,119,0,1
39045,Fairfield,OH,161064,24,16.1,9.388,0.273,0.068,2.634,83.184,34.712,117,30,1,1,1,"74,987",124,2,2,391.08,141.92,116.32,119.74,28,"Columbus, OH",46,8,2,39,307,1,0
39047,Fayette,OH,28906,23.7,18.2,2.328,0.325,0.048,2.435,91.583,47.751,27,15,6,3,0,"50,125",83,2,2,253.32,116.53,111.2,21.53,43,"Columbus, OH",46,2,2,41,70,0,1
39049,Franklin,OH,1321414,23.3,12.7,23.685,0.323,0.056,6.185,60.796,1.354,925,41,1,1,1,"62,643",104,2,2,404.23,123.9,90.64,131.85,16,"Columbus, OH",46,23,6,34,2391,2,0
39051,Fulton,OH,42450,23.4,19,0.686,0.473,0.061,9.279,88.118,56.16,40,18,2,2,1,"60,550",100,1,1,570.24,240.62,144.57,178.49,34,"Toledo, OH",185,1,9,41,103,1,0
39053,Gallia,OH,29158,23.3,19.5,2.236,0.46,0.264,1.403,93.124,81.351,25,17,6,5,0,"50,642",84,3,3,272.13,135.61,109.39,15.58,49,"Charleston-Huntington, WV",32,2,1,41,64,0,1
39055,Geauga,OH,95565,22.5,21.5,1.292,0.162,0.016,1.776,95.139,63.969,91,38,1,1,1,"84,510",140,0,0,567.39,147.07,85,330.66,21,"Cleveland-Akron (Canton), OH",41,1,1,45,229,1,0
39057,Greene,OH,168412,20.7,18,7.114,0.327,0.08,3.225,83.135,14.91,155,41,2,2,1,"71,673",119,4,5,355.23,145.04,74.98,87.04,27,"Dayton, OH",51,7,3,38,403,1,0
39059,Guernsey,OH,38287,22.1,20.3,1.57,0.366,0.039,1.319,94.314,61.419,29,15,6,5,0,"45,808",76,3,3,338.96,117.32,161.22,52.69,33,"Columbus, OH",46,2,1,42,74,0,1
39061,Hamilton,OH,826139,23,16.1,26.21,0.273,0.133,3.891,64.269,2.232,772,40,1,1,1,"63,919",106,4,4,524.7,116.11,95.16,255.61,13,"Cincinnati, OH",39,26,3,37,1975,2,0
39063,Hancock,OH,74656,21.9,18.1,1.839,0.394,0.023,6.212,87.789,31.11,55,28,4,5,0,"61,473",102,1,1,451.37,127,188.95,126.15,41,"Toledo, OH",185,2,5,39,142,0,1
39065,Hardin,OH,30621,23.5,16.2,1.006,0.327,0.062,2.168,94.102,55.378,26,16,6,6,0,"45,312",75,2,2,359.6,121.59,179.96,56.15,35,"Columbus, OH",46,1,2,36,67,0,1
39067,Harrison,OH,14477,21,22.1,2.038,0.29,0.014,1.319,94.267,84.109,15,12,6,6,0,"49,088",81,3,3,279.25,70.47,163.7,33.72,33,"Wheeling, WV-Steubenville, OH",200,2,1,46,37,0,1
39069,Henry,OH,27538,23.2,19.4,0.654,0.516,0.025,7.909,89.596,69.08,25,18,6,6,0,"64,694",107,1,1,674.43,306.08,246.61,121.74,28,"Toledo, OH",185,1,8,42,65,0,1
39071,Highland,OH,43354,23.8,18.9,1.437,0.371,0.03,1.416,94.593,73.002,30,14,6,4,0,"57,155",95,3,4,325.88,193.54,103.01,17.89,40,"Cincinnati, OH",39,2,1,41,77,0,1
39073,Hocking,OH,28097,21.7,19.8,0.801,0.399,0.036,1.153,95.779,70.841,26,15,1,1,1,"53,838",89,3,2,254.56,107.93,108.58,34.04,34,"Columbus, OH",46,1,1,43,67,1,0
39075,Holmes,OH,44271,30.5,14.1,0.379,0.102,0.07,1.021,97.592,92.994,40,11,7,9,0,"67,967",113,3,0,683.31,613.56,54.93,14.75,33,"Cleveland-Akron (Canton), OH",41,0,1,31,104,0,1
39077,Huron,OH,58367,23.8,18.1,1.175,0.35,0.048,7.049,89.614,50.304,46,15,4,3,0,"62,143",103,1,0,462.08,101.95,126.15,233.96,30,"Cleveland-Akron (Canton), OH",41,2,7,40,118,0,1
39079,Jackson,OH,32511,23.9,17.9,0.692,0.44,0.046,1.104,95.681,64.581,30,15,7,8,0,"49,636",82,3,3,285.15,141.79,113.62,10.53,42,"Charleston-Huntington, WV",32,1,1,40,77,0,1
39081,Jefferson,OH,64789,19.7,22.2,5.328,0.248,0.046,1.815,89.756,38.982,63,18,3,2,1,"49,642",82,3,3,461.48,79.59,147.37,198.7,25,"Wheeling, WV-Steubenville, OH",200,6,1,45,160,1,0
39083,Knox,OH,62897,22.9,18.8,0.94,0.305,0.038,1.781,94.99,55.7,45,23,4,3,0,"68,050",113,2,2,380.25,215.74,102.76,53.35,32,"Columbus, OH",46,1,2,39,116,0,1
39085,Lake,OH,232023,19.5,21.1,5.021,0.223,0.031,5.009,86.561,6.529,387,29,1,1,1,"69,853",116,0,0,494.29,67.81,64.15,351.54,16,"Cleveland-Akron (Canton), OH",41,4,4,44,234,1,0
39087,Lawrence,OH,57445,21.7,19.3,2.11,0.279,0.024,1.025,94.405,45.917,52,17,2,2,1,"47,299",78,3,3,230.65,137.01,52.19,30.87,41,"Charleston-Huntington, WV",32,2,1,42,131,1,0
39089,Licking,OH,180401,23,17.1,4.284,0.363,0.055,2.317,87.42,35.528,97,29,1,1,1,"68,982",114,2,2,341.95,131.41,103.24,96.1,30,"Columbus, OH",46,4,2,40,255,1,0
39091,Logan,OH,46035,22.9,19.1,1.899,0.35,0.052,2.135,92.521,56.915,38,18,6,3,0,"61,797",102,4,5,318.37,126.15,132.19,49.06,35,"Dayton, OH",51,2,2,41,97,0,1
39093,Lorain,OH,315595,21.8,19.2,7.788,0.388,0.077,10.775,77.135,11.738,241,26,1,1,1,"59,954",99,0,0,440.52,114.04,67.1,243.71,17,"Cleveland-Akron (Canton), OH",41,9,10,42,335,1,0
39095,Lucas,OH,429191,23.1,17.1,19.759,0.412,0.059,7.827,67.378,4.66,490,28,2,2,1,"51,642",86,1,1,448.01,91.15,90.52,208.87,13,"Toledo, OH",185,19,7,38,723,1,0
39097,Madison,OH,44386,20.3,16.1,6.398,0.385,0.032,2.704,87.444,48.486,36,20,1,1,1,"72,834",121,2,2,316.98,112.97,99.53,57.56,31,"Columbus, OH",46,6,2,41,94,1,0
39099,Mahoning,OH,226762,20.1,21.8,14.84,0.291,0.071,6.991,74.915,15.159,217,25,2,2,1,"48,937",81,0,0,572.86,115.4,96.08,298.04,17,"Youngstown, OH",206,15,6,43,537,1,0
39101,Marion,OH,65291,21.3,18.5,6.448,0.338,0.08,3.069,87.53,30.251,62,13,4,3,0,"52,226",87,2,2,302.66,108.71,140.27,37.59,39,"Columbus, OH",46,6,3,41,161,0,1
39103,Medina,OH,183092,21.7,19.1,1.521,0.205,0.027,2.615,92.969,29.794,162,35,1,1,1,"79,504",132,0,0,516.47,107.57,110.58,281.51,21,"Cleveland-Akron (Canton), OH",41,1,2,42,423,1,0
39105,Meigs,OH,22049,21,21,0.871,0.327,0.018,0.857,96.381,81.296,21,12,6,6,0,"44,622",74,3,3,270.3,164.45,88.98,11.91,39,"Charleston-Huntington, WV",32,1,1,43,53,0,1
39107,Mercer,OH,42309,26.3,19,0.449,0.324,0.863,1.865,94.852,61.359,34,20,7,8,0,"69,588",115,1,5,801.27,82.69,137.18,581.37,32,"Dayton, OH",51,1,2,40,87,0,1
39109,Miami,OH,109264,23.1,19.2,2.632,0.239,0.043,1.995,91.207,30.798,100,24,2,2,1,"63,699",106,4,5,372.26,109.57,148.74,105.95,32,"Dayton, OH",51,2,2,41,259,1,0
39111,Monroe,OH,13329,20.5,23.7,0.728,0.195,0.015,0.683,96.669,97.651,12,13,8,7,0,"48,944",81,3,3,512.7,284.66,176.41,51.63,37,"Wheeling, WV-Steubenville, OH",200,1,0,47,30,0,1
39113,Montgomery,OH,535840,22.1,18.3,21.422,0.273,0.068,3.566,69.528,4.331,445,29,2,2,1,"54,692",91,4,5,485.46,174.41,89.62,147.45,21,"Dayton, OH",51,21,3,39,1145,1,0
39115,Morgan,OH,13682,20.6,22.3,2.872,0.387,0.007,1.045,91.69,81.487,14,11,6,4,0,"45,698",76,3,2,248.44,132.79,106.95,8.57,39,"Columbus, OH",46,3,1,44,34,0,1
39117,Morrow,OH,35151,22.1,18.5,0.774,0.25,0.04,1.767,95.303,88.839,33,15,1,1,1,"68,159",113,2,2,239.21,123.5,103.31,12.2,33,"Columbus, OH",46,1,1,42,86,1,0
39119,Muskingum,OH,86408,22.7,18.4,3.827,0.326,0.032,1.341,90.968,47.033,50,18,4,3,0,"52,457",87,3,2,367.47,123.59,169.47,60.06,28,"Zanesville, OH",208,3,1,40,128,0,1
39121,Noble,OH,14176,18.8,28.7,3.196,0.381,0.021,0.776,94.166,62.526,14,12,7,10,0,"52,583",87,3,3,273.95,98.46,70.13,105.29,28,"Wheeling, WV-Steubenville, OH",200,4,1,50,36,0,1
39123,Ottawa,OH,40104,18,26.4,0.91,0.259,0.04,5.374,91.804,49.447,62,26,4,5,0,"65,582",109,1,1,507.39,56.53,274.91,174.83,20,"Toledo, OH",185,1,5,49,69,0,1
39125,Paulding,OH,18871,24.1,19.2,0.954,0.498,0.037,5.167,92.062,81.901,17,16,6,6,0,"62,062",103,1,5,522.59,140.15,151.27,231.06,40,"Ft. Wayne, IN",69,1,5,42,45,0,1
39127,Perry,OH,35460,23.6,17.6,0.541,0.353,0.149,1.004,96.23,75.243,34,13,1,1,1,"56,048",93,3,3,263.55,78.4,101.92,83.2,35,"Columbus, OH",46,1,1,40,88,1,0
39129,Pickaway,OH,59333,21.5,16.1,3.809,0.302,0.04,1.679,91.956,49.865,44,20,1,1,1,"64,412",107,2,2,207.98,78.1,95.08,31.42,29,"Columbus, OH",46,4,1,39,115,1,0
39131,Pike,OH,27089,23.9,18.4,1.218,0.757,0.081,1.336,94.385,74.238,25,15,7,9,0,"46,413",77,3,3,197.88,149.12,32.5,9.58,42,"Columbus, OH",46,1,1,41,63,0,1
39133,Portage,OH,162382,18.3,17.7,4.89,0.217,0.057,2.161,88.511,32.813,129,30,2,2,1,"64,250",106,0,0,276.67,65.6,72.84,123.31,23,"Cleveland-Akron (Canton), OH",41,4,2,38,323,1,0
39135,Preble,OH,40867,22.3,19.9,0.702,0.362,0.015,1.138,95.843,69.224,38,18,6,4,0,"60,856",101,4,5,309.39,164.18,117.67,19.99,38,"Dayton, OH",51,1,1,43,96,0,1
39137,Putnam,OH,34318,25.8,18.4,0.446,0.382,0.02,6.801,91.64,84.66,27,25,6,6,0,"72,299",120,1,1,785.12,106.12,76.26,602.74,31,"Lima, OH",108,1,6,40,70,0,1
39139,Richland,OH,125195,21.9,20,9.27,0.234,0.052,2.217,85.094,32.055,95,18,3,2,1,"52,295",87,2,0,423.23,223.6,99.26,77.59,36,"Cleveland-Akron (Canton), OH",41,9,2,41,242,0,1
39141,Ross,OH,76891,21.1,17.6,5.751,0.349,0.031,1.369,89.473,58.671,43,17,4,3,0,"49,543",82,3,3,257.1,122.31,88.95,35.23,34,"Columbus, OH",46,6,1,41,111,0,1
39143,Sandusky,OH,58715,22,19.8,3.108,0.397,0.027,10.701,83.156,44.144,56,18,4,5,0,"60,455",100,1,1,474.06,92.58,167.94,203.4,24,"Toledo, OH",185,3,10,42,141,0,1
39145,Scioto,OH,73346,21.8,18.8,2.747,0.555,0.02,1.575,92.804,54.277,48,16,4,5,0,"44,297",73,3,3,247.12,136.34,55.57,40.88,41,"Charleston-Huntington, WV",32,3,1,40,122,0,1
39147,Seneca,OH,54906,21.7,18.9,2.297,0.344,0.058,5.688,88.843,47.509,39,18,4,5,0,"58,129",96,1,1,542,51.62,144.88,331.36,28,"Toledo, OH",185,3,5,40,100,0,1
39149,Shelby,OH,47977,24.7,17.4,2.247,0.242,0.115,1.634,92.351,51.112,46,19,4,5,0,"67,582",112,4,5,571.68,120.53,166.74,270.18,28,"Dayton, OH",51,2,2,40,118,0,1
39151,Stark,OH,373834,21.5,20.1,7.926,0.302,0.043,2.429,85.592,13.53,251,24,2,2,1,"57,364",95,0,0,469.66,162.3,120.72,148.65,25,"Cleveland-Akron (Canton), OH",41,8,2,42,640,1,0
39153,Summit,OH,537633,20.8,18.9,15.009,0.218,0.045,2.528,75.369,3.877,507,34,2,2,1,"60,715",101,0,0,470.22,135.82,85.87,215.85,21,"Cleveland-Akron (Canton), OH",41,15,2,41,1285,1,0
39155,Trumbull,OH,201335,20.6,22.1,8.57,0.245,0.03,2.098,86.358,27.273,126,19,2,2,1,"48,929",81,0,0,458.37,119.61,110.91,189,29,"Youngstown, OH",206,8,2,44,313,1,0
39157,Tuscarawas,OH,92500,22.9,20,0.808,0.559,0.253,3.619,93.587,41.58,63,18,4,5,0,"58,256",97,3,0,491.34,185.69,204.23,94.51,38,"Cleveland-Akron (Canton), OH",41,1,3,41,161,0,1
39159,Union,OH,64971,24.4,13,2.635,0.217,0.025,2.483,87.401,49.952,50,38,1,1,1,"92,198",153,2,2,310.65,106.98,146.44,47.8,31,"Columbus, OH",46,3,2,38,132,1,0
39161,Van Wert,OH,28732,23.3,19.9,1.02,0.456,0.038,4.086,93.029,50.727,27,17,6,5,0,"57,863",96,1,5,422.07,169.22,168.87,83.84,40,"Ft. Wayne, IN",69,1,3,41,69,0,1
39163,Vinton,OH,12696,21.3,18.6,0.567,0.449,0.008,1.071,96.093,100,12,13,8,4,0,"49,778",82,3,3,203.28,116.71,62.82,14.89,44,"Charleston-Huntington, WV",32,0,1,42,31,0,1
39165,Warren,OH,246553,23.9,15.2,3.747,0.204,0.135,3.201,84.05,17.266,218,44,1,1,1,"90,600",150,4,4,292.58,148.38,51.13,91.72,25,"Cincinnati, OH",39,4,3,39,571,1,0
39167,Washington,OH,59423,19.8,21.9,1.301,0.283,0.027,1.183,94.729,56.562,37,20,4,5,0,"53,450",89,3,3,383.66,129.19,155.36,87.8,35,"Parkersburg, WV",143,1,1,44,94,0,1
39169,Wayne,OH,116710,24.2,18.7,1.538,0.229,0.062,2.199,93.472,51.001,81,23,4,3,0,"67,708",112,0,0,548.12,306.78,152.51,78.86,34,"Cleveland-Akron (Canton), OH",41,1,2,39,209,0,1
39171,Williams,OH,36716,22.1,20,1.223,0.357,0.038,5.213,91.753,63.628,34,15,6,6,0,"52,458",87,1,1,410.66,153.5,147.26,103.1,37,"Toledo, OH",185,1,5,42,87,0,1
39173,Wood,OH,132472,20.3,16.1,2.654,0.33,0.041,6.1,87.332,29.546,81,36,2,2,1,"67,865",112,1,1,525.17,165.18,157.83,171.84,23,"Toledo, OH",185,3,6,35,210,1,0
39175,Wyandot,OH,21708,22.3,20.4,0.424,0.295,0.037,3.28,94.477,57.418,21,19,7,9,0,"63,516",105,2,1,545.66,62.3,273.89,209.46,35,"Toledo, OH",185,0,3,42,54,0,1
